request_id,currency,requested_amount,predicted_safe_amount,expected_safe_amount,safe_amount_abs_error,safe_amount_relative_error,safe_amount_error_over_requested_amount,predicted_earliest_date,expected_earliest_date,earliest_date_error_days,baseline_complete,likely_mismatch_cause,notes
request_01,ZAR,25256,8397.92,25256,16858.08,0.6674881216344630978777320240734874881216,0.6674881216344630978777320240734874881216,,2024-03-03,,True,recurrence_amount|recurrence_identity,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. No recurring income survives history/continuation gates. Review source eligibility; do not admit speculative income to fit labels. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_02,IDR,46018000,18069584.88,17229139.2,840445.68,0.04878047999054996316937296553968291114625,0.01826341170846190621061323829805728193316,2025-10-15,2025-09-15,30,True,missing_message_amendment|recurrence_amount,"message_01: Salary increase effective 2025-08-15 is not applied. Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_03,IDR,5491000,942483.15,873000,69483.15,0.07959123711340206185567010309278350515464,0.01265400655618284465488981970497177199053,2019-11-15,2019-11-15,0,True,missing_image_amount|missing_message_amendment|recurrence_amount,"Unextracted image-linked amounts: image_01/event_253. message_02: Regular next payroll confirmed; historical blank payslip and one-off adjustment need separation. Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_04,IDR,12693000,10597545.71,8401800,2195745.71,0.2613422968887619319669594610678664095789,0.1729887111006066335775624359883400299378,2024-06-15,2024-06-15,0,True,recurrence_amount,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_05,ZAR,15488,0.00,737,737.00,1.00,0.04758522727272727272727272727272727272727,,,,True,recurrence_identity,"No recurring income survives history/continuation gates. Review source eligibility; do not admit speculative income to fit labels. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_06,EUR,620.4,524.55,603.3,78.75,0.1305320735952262555942317255096966683242,0.1269342359767891682785299806576402321083,2026-01-15,2026-01-15,0,True,missing_message_amendment|recurrence_amount,"message_04: Temporary reduced pay continues for next cycle; mean history does not apply this amendment. Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_07,INR,197400,95809.06,87170.56,8638.50,0.09909882419018531026988928372147660861649,0.04376139817629179331306990881458966565350,2024-10-15,2024-10-23,8,True,missing_message_amendment|recurrence_amount,"message_05: Confirmed salary delayed to 2024-09-23; scope beyond that cycle is unclear. Historical 15th projections are unamended. Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_08,EUR,996.6,235.78,284.57,48.79,0.1714516639139754717644164880345784868398,0.04895645193658438691551274332731286373670,,2025-04-15,,True,missing_message_amendment|recurrence_amount,"message_06: Next salary changed for unpaid leave; no amendment applied. Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_09,EUR,166.61,22.26,166.61,144.35,0.8663945741552127723425964828041534121601,0.8663945741552127723425964828041534121601,,2026-07-04,,True,recurrence_amount|recurrence_identity,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. No recurring income survives history/continuation gates. Review source eligibility; do not admit speculative income to fit labels. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_10,INR,266700,0.00,12700,12700.00,1.00,0.04761904761904761904761904761904761904762,,,,True,recurrence_amount|recurrence_identity,"Capacity changes under median_last_3; sensitivity is not proof of the correct estimator. No recurring income survives history/continuation gates. Review source eligibility; do not admit speculative income to fit labels. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_11,IDR,13110000,12378605.15,12510645,132039.85,0.01055420004324317411292543270151139289781,0.01007168954996186117467581998474446987033,2025-05-15,2025-07-15,61,True,missing_message_amendment|recurrence_amount,"message_08: Changed confirmed base salary is not applied; speculative commissions are excluded. Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_12,ZAR,65164,58247.70,65164,6916.30,0.1061368240132588545822846970720029464121,0.1061368240132588545822846970720029464121,,2026-04-05,,True,recurrence_amount|recurrence_identity,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. No recurring income survives history/continuation gates. Review source eligibility; do not admit speculative income to fit labels. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_13,EUR,941.6,608.47,433.4,175.07,0.4039455468389478541762805722196585140748,0.1859282073067119796091758708581138487681,,2024-05-15,,True,recurrence_amount,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_14,EUR,5414.2,0.00,597.74,597.74,1,0.1104022754977651361235270215359609914669,,,,True,missing_message_amendment|recurrence_identity,"message_10: Salary resumes and childcare begins; childcare amount unspecified, both amendments unapplied. No recurring income survives history/continuation gates. Review source eligibility; do not admit speculative income to fit labels. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_15,EUR,3685,0.00,83.05,83.05,1,0.02253731343283582089552238805970149253731,,,,True,missing_message_amendment|recurrence_identity,"message_11: First confirmed salary amount/date absent from structured scheduled rows; amendment unapplied. No recurring income survives history/continuation gates. Review source eligibility; do not admit speculative income to fit labels. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_16,INR,122500,0.00,122500,122500.00,1.00,1.00,,2023-08-12,,False,missing_image_amount|missing_message_amendment,"Unextracted image-linked amounts: image_02/event_1442. message_12: Next rent increases 12%; unresolved rent bill amount also requires evidence. Incomplete future forecast uses terminal zero capacity and blank date. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_17,INR,274600,242139.81,243849.58,1709.77,0.007011576562895863917419911077968639519494,0.006226402039329934450109249817916970138383,2026-04-15,2026-03-15,31,True,missing_image_amount|recurrence_amount,"Unextracted image-linked amounts: image_03/event_1545. Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_18,EUR,3246.1,547.76,462,85.76,0.1856277056277056277056277056277056277056,0.02641939558239117710483349249869073657620,2026-09-15,2026-09-15,0,True,recurrence_amount,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_19,INR,39660,25479.31,28820,3340.69,0.1159156835530881332408049965301873698820,0.08423323247604639435199193141704488149269,2024-09-15,2024-09-15,0,True,missing_image_amount|recurrence_amount,"Unextracted image-linked amounts: image_04/event_1700. Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_20,INR,303700,0.00,5400,5400.00,1.00,0.01778070464273954560421468554494567006915,,,,False,missing_image_amount,"Unextracted image-linked amounts: image_05/event_1786. Incomplete future forecast uses terminal zero capacity and blank date. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_21,USD,1574.4,1574.40,1543.35,31.05,0.02011857323355039362425891729031003984838,0.01972179878048780487804878048780487804878,2026-04-03,2026-04-15,12,True,unknown,"No isolated upstream cause established by the tested alternatives. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_22,EUR,731.5,463.85,475.46,11.61,0.02441845791444075211374248096580153956169,0.01587149692412850307587149692412850307587,2025-01-15,2025-01-15,0,True,recurrence_amount,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_23,ZAR,38016,8731.85,9152,420.15,0.04590799825174825174825174825174825174825,0.01105192550505050505050505050505050505051,2025-07-15,2025-07-15,0,True,recurrence_amount,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_24,INR,109600,13599.65,13420,179.65,0.01338673621460506706408345752608047690015,0.001639142335766423357664233576642335766423,,,,True,recurrence_amount,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
request_25,IDR,60496000,289596.15,1425000,1135403.85,0.7967746315789473684210526315789473684211,0.01876824666093626024861147844485585823856,,,,True,recurrence_amount,"Capacity changes under median_last_3, latest; sensitivity is not proof of the correct estimator. Deadline, payment preferences and optional spending changes cannot explain capacity differences: they are deliberately excluded."
