policy_id,identity_method,cadence_method,amount_method,spend_rate_method,historical_series,series_evaluated,excluded_short_series,excluded_same_day_series,holdout_abstentions,holdout_date_mae_days,holdout_date_median_error_days,holdout_amount_mae,holdout_amount_median_relative_error,holdout_amount_mean_relative_error,rolling_folds,rolling_predicted,rolling_date_mae_days,rolling_amount_mean_relative_error,high_frequency_series_count,monthly_series_count,sample_requests_sensitive,notes
category_calendar_median3,category,calendar_aware,median_last_3,none,247,243,4,0,0,0,0,"{""EUR"": ""18.14565789473684210526315789473684210526"", ""IDR"": ""76141.70529411764705882352941176470588235"", ""INR"": ""353.0473913043478260869565217391304347826"", ""USD"": ""7.881"", ""ZAR"": ""65.65324324324324324324324324324324324324""}",0.01049967040210942649967040210942649967040,0.07361002882291895844231434338408916103235,1470,1470,0,0.1379413277437525146323074714150485459001,71,172,0,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
amount_latest,category,calendar_aware,latest,none,247,243,4,0,0,0,0,"{""EUR"": ""12.92684210526315789473684210526315789474"", ""IDR"": ""103789.6970588235294117647058823529411765"", ""INR"": ""356.5589855072463768115942028985507246377"", ""USD"": ""7.243"", ""ZAR"": ""71.02243243243243243243243243243243243243""}",0.01491509630308865918471986308382805458809,0.07781025415643999480438542231492514037494,1470,1470,0,0.1509112426925765799992866972607594111534,71,172,25,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
amount_mean_last_3,category,calendar_aware,mean_last_3,none,247,243,4,0,0,0,0,"{""EUR"": ""16.00618421052631578947368421052631578947"", ""IDR"": ""72446.32647058823529411764705882352941176"", ""INR"": ""339.9001449275362318840579710144927536232"", ""USD"": ""7.203"", ""ZAR"": ""59.27675675675675675675675675675675675676""}",0.01167927344206664928607971631554176115005,0.06867525021101343190037933739241993902099,1470,1470,0,0.1282622204263785678305725928092458908235,71,172,25,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
amount_mean_last_5,category,calendar_aware,mean_last_5,none,247,243,4,0,0,0,0,"{""EUR"": ""15.97868421052631578947368421052631578947"", ""IDR"": ""66114.26980392156862745098039215686274510"", ""INR"": ""299.2356521739130434782608695652173913043"", ""USD"": ""5.434"", ""ZAR"": ""69.64810810810810810810810810810810810811""}",0.01043355522917580635931867167680775173098,0.06230112892903556032264384591107157210564,1470,1470,0,0.1213576860619788633934083069856398628164,71,172,25,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
amount_median_last_5,category,calendar_aware,median_last_5,none,247,243,4,0,0,0,0,"{""EUR"": ""17.62828947368421052631578947368421052632"", ""IDR"": ""65363.05294117647058823529411764705882353"", ""INR"": ""326.9023188405797101449275362318840579710"", ""USD"": ""6.991"", ""ZAR"": ""71.34297297297297297297297297297297297297""}",0.008058772275509503132761855867646686647891,0.06788568626523444166586980943510896216807,1470,1470,0,0.1313250733415973425305594103092601389658,71,172,25,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
amount_max_last_3,category,calendar_aware,max_last_3,none,247,243,4,0,0,0,0,"{""EUR"": ""17.89210526315789473684210526315789473684"", ""IDR"": ""76218.00980392156862745098039215686274510"", ""INR"": ""428.9102898550724637681159420289855072464"", ""USD"": ""7.168"", ""ZAR"": ""89.88918918918918918918918918918918918919""}",0.003104625892579944116733933561005898789196,0.08365745188343236523939609515356326203667,1470,1470,0,0.1709886700962600265490343891509244974967,71,172,25,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
identity_exact,exact,calendar_aware,median_last_3,none,676,289,387,0,91,4.212121212121212121212121212121212121212,0,"{""EUR"": ""19.35245901639344262295081967213114754098"", ""IDR"": ""55046.81214285714285714285714285714285714"", ""INR"": ""281.9729824561403508771929824561403508772"", ""USD"": ""2.33"", ""ZAR"": ""62.63566666666666666666666666666666666667""}",0.00,0.04901833619450261216299314990696338463572,589,438,4.139269406392694063926940639269406392694,0.05109490140979719740500282342023157827096,40,172,25,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
identity_family,family,calendar_aware,median_last_3,none,248,243,5,0,0,0,0,"{""EUR"": ""18.14565789473684210526315789473684210526"", ""IDR"": ""76141.70529411764705882352941176470588235"", ""INR"": ""353.0473913043478260869565217391304347826"", ""USD"": ""7.881"", ""ZAR"": ""65.65324324324324324324324324324324324324""}",0.01049967040210942649967040210942649967040,0.07361002882291895844231434338408916103235,1470,1470,0,0.1379413277437525146323074714150485459001,71,172,0,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
cadence_median,category,median,median_last_3,none,247,243,4,0,0,0.5061728395061728395061728395061728395062,0,"{""EUR"": ""18.14565789473684210526315789473684210526"", ""IDR"": ""76141.70529411764705882352941176470588235"", ""INR"": ""353.0473913043478260869565217391304347826"", ""USD"": ""7.881"", ""ZAR"": ""65.65324324324324324324324324324324324324""}",0.01049967040210942649967040210942649967040,0.07361002882291895844231434338408916103235,1470,1470,0.1707482993197278911564625850340136054422,0.1379413277437525146323074714150485459001,71,0,25,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
cadence_recent_median,category,recent_median,median_last_3,none,247,243,4,0,0,0.5514403292181069958847736625514403292181,0,"{""EUR"": ""18.14565789473684210526315789473684210526"", ""IDR"": ""76141.70529411764705882352941176470588235"", ""INR"": ""353.0473913043478260869565217391304347826"", ""USD"": ""7.881"", ""ZAR"": ""65.65324324324324324324324324324324324324""}",0.01049967040210942649967040210942649967040,0.07361002882291895844231434338408916103235,1470,1470,0.1782312925170068027210884353741496598639,0.1379413277437525146323074714150485459001,71,0,25,Native-currency MAE map; errors conditional on predictions; all final-label accuracy deferred.
